route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
98,"NJB","39","",3,"",
99,"NJB","40","",3,"",
100,"NJB","400","",3,"",
101,"NJB","401","",3,"",
102,"NJB","402","",3,"",
103,"NJB","403","",3,"",
104,"NJB","404","",3,"",
105,"NJB","405","",3,"",
106,"NJB","406","",3,"",
107,"NJB","407","",3,"",
108,"NJB","408","",3,"",
109,"NJB","409","",3,"",
110,"NJB","41","",3,"",
111,"NJB","410","",3,"",
112,"NJB","412","",3,"",
113,"NJB","413","",3,"",
114,"NJB","414","",3,"",
115,"NJB","417","",3,"",
116,"NJB","418","",3,"",
117,"NJB","419","",3,"",
118,"NJB","450","",3,"",
119,"NJB","451","",3,"",
120,"NJB","452","",3,"",
121,"NJB","453","",3,"",
122,"NJB","455","",3,"",
123,"NJB","457","",3,"",
124,"NJB","459","",3,"",
125,"NJB","463","",3,"",
126,"NJB","468","",3,"",
127,"NJB","48","",3,"",
128,"NJB","5","",3,"",
129,"NJB","501","",3,"",
130,"NJB","502","",3,"",
131,"NJB","504","",3,"",
132,"NJB","505","",3,"",
133,"NJB","507","",3,"",
134,"NJB","508","",3,"",
135,"NJB","509","",3,"",
136,"NJB","52","",3,"",
137,"NJB","551","",3,"",
138,"NJB","552","",3,"",
139,"NJB","553","",3,"",
140,"NJB","554","",3,"",
141,"NJB","555","",3,"",
142,"NJB","559","",3,"",
143,"NJB","56","",3,"",
144,"NJB","57","",3,"",
145,"NJB","58","",3,"",
146,"NJB","59","",3,"",
147,"NJB","6","",3,"",
148,"NJB","600","",3,"",
149,"NJB","601","",3,"",
150,"NJB","603","",3,"",
151,"NJB","605","",3,"",
152,"NJB","606","",3,"",
153,"NJB","607","",3,"",
154,"NJB","608","",3,"",
155,"NJB","609","",3,"",
156,"NJB","610","",3,"",
157,"NJB","611","",3,"",
158,"NJB","612","",3,"",
159,"NJB","613","",3,"",
160,"NJB","619","",3,"",
161,"NJB","62","",3,"",
162,"NJB","624","",3,"",
163,"NJB","63","",3,"",
164,"NJB","64","",3,"",
165,"NJB","65","",3,"",
166,"NJB","66","",3,"",
167,"NJB","67","",3,"",
168,"NJB","68","",3,"",
169,"NJB","70","",3,"",
170,"NJB","702","",3,"",
171,"NJB","703","",3,"",
172,"NJB","704","",3,"",
173,"NJB","705","",3,"",
174,"NJB","707","",3,"",
175,"NJB","709","",3,"",
176,"NJB","71","",3,"",
177,"NJB","712","",3,"",
178,"NJB","72","",3,"",
179,"NJB","722","",3,"",
180,"NJB","73","",3,"",
181,"NJB","74","",3,"",
182,"NJB","744","",3,"",
183,"NJB","746","",3,"",
184,"NJB","748","",3,"",
185,"NJB","751","",3,"",
186,"NJB","752","",3,"",
187,"NJB","753","",3,"",
188,"NJB","755","",3,"",
189,"NJB","756","",3,"",
190,"NJB","758","",3,"",
191,"NJB","76","",3,"",
192,"NJB","762","",3,"",
193,"NJB","770","",3,"",
194,"NJB","772","",3,"",
195,"NJB","78","",3,"",
196,"NJB","780","",3,"",
197,"NJB","79","",3,"",
198,"NJB","80","",3,"",
199,"NJB","801","",3,"",
200,"NJB","802","",3,"",
201,"NJB","803","",3,"",
202,"NJB","804","",3,"",
203,"NJB","805","",3,"",
204,"NJB","81","",3,"",
205,"NJB","810","",3,"",
206,"NJB","811","",3,"",
207,"NJB","813","",3,"",
208,"NJB","814","",3,"",
209,"NJB","815","",3,"",
210,"NJB","817","",3,"",
211,"NJB","818","",3,"",
212,"NJB","819","",3,"",
213,"NJB","82","",3,"",
214,"NJB","822","",3,"",
215,"NJB","83","",3,"",
216,"NJB","830","",3,"",
217,"NJB","831","",3,"",
218,"NJB","832","",3,"",
219,"NJB","834","",3,"",
220,"NJB","836","",3,"",
221,"NJB","837","",3,"",
222,"NJB","838","",3,"",
223,"NJB","84","",3,"",
224,"NJB","85","",3,"",
225,"NJB","86","",3,"",
226,"NJB","87","",3,"",
227,"NJB","871","",3,"",
228,"NJB","872","",3,"",
229,"NJB","873","",3,"",
230,"NJB","874","",3,"",
231,"NJB","875","",3,"",
232,"NJB","878","",3,"",
233,"NJB","879","",3,"",
234,"NJB","88","",3,"",
235,"NJB","880","",3,"",
236,"NJB","89","",3,"",
237,"NJB","890","",3,"",
238,"NJB","891","",3,"",
239,"NJB","90","",3,"",
240,"NJB","92","",3,"",
241,"NJB","94","",3,"",
242,"NJB","95","",3,"",
243,"NJB","96","",3,"",
244,"NJB","97","",3,"",
245,"NJB","986","",3,"",
246,"NJB","99","",3,"",
247,"NJB","AC1","",3,"",
248,"NJB","AC2A","",3,"",
249,"NJB","AC3","",3,"",
250,"NJB","AC4A","",3,"",
251,"NJB","AC4B","",3,"",
252,"NJB","AC5","",3,"",
253,"NJB","GO25","",3,"",
254,"NJB","GO28","",3,"",
